Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - No schooling completed,Margin of Error; Male: - No schooling completed,Estimate; Male: - Nursery to 4th grade,Margin of Error; Male: - Nursery to 4th grade,Estimate; Male: - 5th and 6th grade,Margin of Error; Male: - 5th and 6th grade,Estimate; Male: - 7th and 8th grade,Margin of Error; Male: - 7th and 8th grade,Estimate; Male: - 9th grade,Margin of Error; Male: - 9th grade,Estimate; Male: - 10th grade,Margin of Error; Male: - 10th grade,Estimate; Male: - 11th grade,Margin of Error; Male: - 11th grade,"Estimate; Male: - 12th grade, no diploma","Margin of Error; Male: - 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, less than 1 year","Margin of Error; Male: - Some college, less than 1 year","Estimate; Male: - Some college, 1 or more years, no degree","Margin of Error; Male: - Some college, 1 or more years, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Master's degree,Margin of Error; Male: - Master's degree,Estimate; Male: - Professional school degree,Margin of Error; Male: - Professional school degree,Estimate; Male: - Doctorate degree,Margin of Error; Male: - Doctorate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - No schooling completed,Margin of Error; Female: - No schooling completed,Estimate; Female: - Nursery to 4th grade,Margin of Error; Female: - Nursery to 4th grade,Estimate; Female: - 5th and 6th grade,Margin of Error; Female: - 5th and 6th grade,Estimate; Female: - 7th and 8th grade,Margin of Error; Female: - 7th and 8th grade,Estimate; Female: - 9th grade,Margin of Error; Female: - 9th grade,Estimate; Female: - 10th grade,Margin of Error; Female: - 10th grade,Estimate; Female: - 11th grade,Margin of Error; Female: - 11th grade,"Estimate; Female: - 12th grade, no diploma","Margin of Error; Female: - 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, less than 1 year","Margin of Error; Female: - Some college, less than 1 year","Estimate; Female: - Some college, 1 or more years, no degree","Margin of Error; Female: - Some college, 1 or more years, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Master's degree,Margin of Error; Female: - Master's degree,Estimate; Female: - Professional school degree,Margin of Error; Female: - Professional school degree,Estimate; Female: - Doctorate degree,Margin of Error; Female: - Doctorate degree
Allegheny Center,1,791,140,449,106,7,11,0,10,0,10,0,10,6,10,0,10,22,36,0,10,57,63,8,13,59,51,20,17,140,62,60,60,64,36,6,9,342,85,0,10,0,10,0,10,0,10,0,10,32,48,6,9,22,19,99,64,25,18,51,31,33,34,36,24,14,14,24,20,0,10
Allegheny West,2,283,92,190,58,0,10,0,10,13,19,9,21,0,10,0,10,0,10,0,10,44,38,10,23,14,11,19,18,54,32,12,13,9,13,6,9,93,48,0,10,0,10,0,10,0,10,6,10,0,10,0,10,0,10,6,9,0,10,4,7,6,8,67,44,0,10,4,6,0,10
Allentown,3,1611.0,247.786198163,617.0,148.296999295,0.0,17.3205080757,6.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,25.0,25.0998007961,9.0,21.354156504,22.0,27.3861278752,351.0,108.046286378,8.0,18.547236991,95.0,76.118328936,33.0,32.0156211872,22.0,32.2645316098,16.0,20.9761769634,30.0,29.7489495612,0.0,17.3205080757,994.0,194.843526964,14.0,24.4948974278,0.0,17.3205080757,0.0,17.3205080757,10.0,22.1133443875,12.0,25.3179778023,8.0,18.547236991,0.0,17.3205080757,18.0,22.825424421,469.0,159.956244017,123.0,63.2850693292,242.0,114.46396813,26.0,27.9284800875,50.0,42.9534631898,22.0,26.1533936613,0.0,17.3205080757,0.0,17.3205080757
Arlington,4,1271.0,224.512805871,663.0,158.173954872,31.0,37.7491721764,0.0,17.3205080757,0.0,17.3205080757,6.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,26.0,24.899799196,0.0,17.3205080757,341.0,93.9627585802,13.0,17.5499287748,132.0,77.6466354712,72.0,42.5323406362,42.0,28.7054001888,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,608.0,113.101724125,6.0,16.7630546143,0.0,17.3205080757,6.0,16.7630546142,19.0,23.4520787991,19.0,21.6794833887,35.0,26.7207784317,5.0,15.779733838,15.0,20.6155281281,214.0,67.2160695072,61.0,38.6781592116,119.0,63.8200595424,52.0,33.3616546352,42.0,32.0780298647,13.0,13.0384048104,2.0,14.6969384567,0.0,17.3205080757
Arlington Heights,5,182,108,22,28,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,16,26,0,10,0,10,0,10,0,10,0,10,160,107,0,10,0,10,0,10,0,10,7,12,52,52,8,11,63,96,26,25,0,10,4,6,0,10,0,10,0,10,0,10,0,10
Banksville,6,3368.0,390.564975389,1477.0,246.880537912,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,4.0,19.0787840283,41.0,57.6628129734,16.0,31.2409987036,0.0,20.0,405.0,131.806676614,64.0,46.7653718044,182.0,102.907725658,90.0,56.8594759033,326.0,124.370414488,301.0,138.942434123,48.0,55.6776436283,0.0,20.0,1891.0,264.412556434,4.0,19.0787840283,0.0,20.0,0.0,20.0,7.0,20.5182845286,29.0,38.3927076409,65.0,58.9660919513,30.0,41.7612260356,0.0,20.0,552.0,155.547420422,108.0,63.0,175.0,103.082491239,276.0,134.807269834,392.0,134.614263732,203.0,102.239913928,50.0,44.4971909226,0.0,20.0
Bedford Dwellings,7,674,88,274,75,5,9,0,10,0,10,0,10,0,10,14,22,32,25,0,10,145,70,24,35,23,23,9,14,22,25,0,10,0,10,0,10,400,77,16,15,10,17,0,10,0,10,0,10,15,18,29,28,6,10,216,61,7,13,58,45,28,22,15,16,0,10,0,10,0,10
Beechview,8,5834.0,512.740675194,2879.0,366.147511257,62.0,64.2650760523,0.0,31.6227766016,9.0,34.0,0.0,31.6227766016,24.0,34.0440890611,16.0,34.9857113691,96.0,85.1880273278,48.0,43.7492857085,990.0,242.332416321,233.0,126.901536634,423.0,122.392810246,292.0,86.6256313108,557.0,139.663882232,74.0,50.5470078245,46.0,46.3357313528,9.0,33.1058907146,2955.0,288.674557245,49.0,58.3523778437,0.0,31.6227766016,0.0,31.6227766016,116.0,75.9144255066,0.0,31.6227766016,34.0,37.2692903071,29.0,37.8681924575,66.0,43.3820239271,957.0,186.55830188,187.0,65.3375848957,388.0,118.270875536,329.0,101.671038157,532.0,151.641023474,219.0,84.00595217,40.0,41.8688428309,9.0,33.1058907146
Beltzhoover,9,1347.0,246.300629313,686.0,163.740648588,14.0,26.4575131106,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,66.0,70.7813534767,78.0,67.2904153651,40.0,40.8044115262,334.0,110.900856625,20.0,25.6515106768,85.0,68.483574673,21.0,35.5105618091,6.0,16.7332005306,22.0,32.9241552663,0.0,20.0,0.0,20.0,661.0,133.929085713,0.0,20.0,0.0,20.0,9.0,23.579652245,0.0,20.0,18.0,26.4575131106,26.0,33.7786915081,33.0,33.5410196625,9.0,22.2710574513,169.0,76.9545320303,77.0,45.6289381862,162.0,69.2387174925,56.0,52.7351874937,44.0,32.1247568084,58.0,43.931765273,0.0,20.0,0.0,20.0
Bloomfield,10,6603.0,431.270216917,3416.0,309.983870549,26.0,26.7207784317,3.0,30.5941170816,17.0,31.1287648325,20.0,31.0,14.0,32.8785644455,13.0,31.7490157327,32.0,39.8120584748,52.0,34.4383507154,817.0,146.594679303,164.0,68.9710084021,366.0,113.701363229,210.0,80.8331615119,947.0,171.726526781,498.0,125.713961038,111.0,58.600341296,126.0,58.0603134679,3187.0,251.851146513,16.0,34.3074335969,22.0,27.440845468,20.0,33.1058907145,13.0,29.4278779391,29.0,37.1079506306,25.0,31.5911379978,11.0,32.3109888427,31.0,33.1511689087,810.0,128.565158577,126.0,74.9866654813,323.0,95.3467356547,240.0,86.8216562847,757.0,152.558185621,574.0,121.474277113,99.0,55.1996376799,91.0,53.4789678284
