Neighborhood,Adult_Population_25_Over,Total_Bachelors_Degree,Bachelors_Degree_Pct,Total_Households,Households_With_Wage_Income,Wage_Income_Pct,Population_Below_Poverty,Poverty_Rate
Allegheny Center,791.0,176.0,22.25,733.0,462.0,63.03,516.0,45.66
Allegheny West,283.0,121.0,42.76,150.0,120.0,80.0,45.0,13.6
Allentown,1611.0,72.0,4.47,1138.0,772.0,67.84,750.0,28.58
Arlington,1271.0,84.0,6.61,685.0,566.0,82.63,343.0,18.15
Arlington Heights,182.0,0.0,0.0,170.0,96.0,56.47,278.0,73.16
Banksville,3368.0,718.0,21.32,2002.0,1596.0,79.72,252.0,6.39
Bedford Dwellings,674.0,37.0,5.49,684.0,294.0,42.98,815.0,69.72
Beechview,5834.0,1089.0,18.67,3557.0,2654.0,74.61,1473.0,18.23
Beltzhoover,1347.0,50.0,3.71,869.0,586.0,67.43,554.0,29.39
Bloomfield,6603.0,1704.0,25.81,4640.0,3789.0,81.66,1760.0,20.23
Bluff,1725.0,109.0,6.32,274.0,216.0,78.83,215.0,34.13
Bon Air,595.0,50.0,8.4,356.0,281.0,78.93,140.0,16.83
Brighton Heights,5389.0,1222.0,22.68,3259.0,2461.0,75.51,945.0,13.04
Brookline,9770.0,1672.0,17.11,6017.0,4578.0,76.08,1361.0,10.32
California-Kirkbride,424.0,33.0,7.78,291.0,158.0,54.3,305.0,38.8
Carrick,7276.0,982.0,13.5,4310.0,3112.0,72.2,1993.0,19.84
Central Business District,2498.0,479.0,19.18,1831.0,1379.0,75.31,533.0,20.08
Central Lawrenceville,3757.0,876.0,23.32,2230.0,1616.0,72.47,664.0,15.24
Central Northside,2117.0,556.0,26.26,1487.0,1079.0,72.56,908.0,31.41
Central Oakland,1005.0,238.0,23.68,1918.0,1658.0,86.44,3505.0,69.21
Chartiers City,356.0,40.0,11.24,215.0,159.0,73.95,62.0,14.98
Chateau,0.0,0.0,,0.0,0.0,,0.0,
Crafton Heights,2518.0,532.0,21.13,1640.0,1114.0,67.93,804.0,21.54
Crawford-Roberts,1517.0,110.0,7.25,1146.0,492.0,42.93,930.0,43.34
Duquesne Heights,1953.0,418.0,21.4,1175.0,906.0,77.11,405.0,15.85
East Allegheny,1902.0,405.0,21.29,1318.0,891.0,67.6,773.0,34.66
East Carnegie,391.0,56.0,14.32,223.0,180.0,80.72,59.0,11.24
East Hills,1852.0,123.0,6.64,1325.0,692.0,52.23,1484.0,50.44
East Liberty,3959.0,734.0,18.54,2894.0,1978.0,68.35,1368.0,25.56
Elliott,1485.0,136.0,9.16,947.0,604.0,63.78,668.0,27.24
Esplen,235.0,12.0,5.11,147.0,129.0,87.76,62.0,22.71
Fairywood,823.0,320.0,38.88,457.0,447.0,97.81,285.0,23.59
Fineview,930.0,59.0,6.34,648.0,393.0,60.65,381.0,29.02
Friendship,1447.0,393.0,27.16,1077.0,972.0,90.25,339.0,19.36
Garfield,2330.0,162.0,6.95,1506.0,873.0,57.97,1417.0,38.14
Glen Hazel,501.0,8.0,1.6,254.0,84.0,33.07,213.0,43.74
Greenfield,5691.0,1303.0,22.9,3390.0,2580.0,76.11,682.0,9.14
Hays,277.0,10.0,3.61,170.0,127.0,74.71,106.0,29.44
Hazelwood,3018.0,281.0,9.31,1884.0,1155.0,61.31,1303.0,30.3
Highland Park,4674.0,1233.0,26.38,3025.0,2365.0,78.18,889.0,12.88
Homewood North,1775.0,164.0,9.24,1275.0,774.0,60.71,1266.0,39.3
Homewood South,1450.0,120.0,8.28,1105.0,589.0,53.3,956.0,40.61
Homewood West,636.0,31.0,4.87,423.0,229.0,54.14,164.0,20.2
Knoxville,2535.0,114.0,4.5,1508.0,1075.0,71.29,1526.0,36.67
Larimer,1096.0,49.0,4.47,660.0,326.0,49.39,595.0,39.56
Lincoln Place,2565.0,286.0,11.15,1444.0,987.0,68.35,293.0,8.46
Lincoln-Lemington-Belmar,3375.0,400.0,11.85,1897.0,1144.0,60.31,1127.0,26.61
Lower Lawrenceville,1942.0,470.0,24.2,1241.0,908.0,73.17,693.0,27.83
Manchester,1415.0,305.0,21.55,930.0,591.0,63.55,399.0,21.71
